order_id,customer_id,product_id,quantity,unit_price,total_amount,status,currency,order_date,shipped_at,delivered_at,_source,_loaded_at
O00001,C00775,P00392,4,1330.7552,5323.0208,delivered,VND,2025-05-12T00:00:00+00:00,2025-05-15T00:00:00+00:00,2025-05-21T00:00:00+00:00,shopify,2025-05-21T01:00:00+00:00
O00002,C00773,P00164,3,1620.5713,4861.7139,shipped,VND,2024-04-24T00:00:00+00:00,2024-04-26T00:00:00+00:00,2024-05-06T00:00:00+00:00,shopify,2024-05-06T01:00:00+00:00
O00003,C00775,P00574,9,897.7614,8079.8526,paid,VND,2025-09-25T00:00:00+00:00,2025-10-01T00:00:00+00:00,2025-10-03T00:00:00+00:00,oms,2025-10-03T01:00:00+00:00
O00004,C00093,P00729,10,4574.3395,45743.395,paid,VND,2025-11-10T00:00:00+00:00,2025-11-14T00:00:00+00:00,2025-11-19T00:00:00+00:00,shopify,2025-11-19T01:00:00+00:00
O00005,C00546,P00363,7,673.8311,4716.8177,cancelled,VND,2025-01-29T00:00:00+00:00,2025-01-30T00:00:00+00:00,2025-02-04T00:00:00+00:00,oms,2025-02-04T01:00:00+00:00
O00006,C00332,P00231,8,4132.4088,33059.2704,shipped,VND,2024-09-08T00:00:00+00:00,2024-09-13T00:00:00+00:00,2024-09-16T00:00:00+00:00,oms,2024-09-16T01:00:00+00:00
O00007,C00507,P00230,4,1234.3052,4937.2208,paid,VND,2024-08-19T00:00:00+00:00,2024-08-23T00:00:00+00:00,2024-08-27T00:00:00+00:00,oms,2024-08-27T01:00:00+00:00
O00008,C00304,P00250,1,4289.0814,4289.0814,delivered,VND,2025-05-09T00:00:00+00:00,2025-05-16T00:00:00+00:00,2025-05-24T00:00:00+00:00,oms,2025-05-24T01:00:00+00:00
O00009,C00423,P00191,9,2908.6691,26178.0219,shipped,VND,2025-10-04T00:00:00+00:00,2025-10-09T00:00:00+00:00,2025-10-16T00:00:00+00:00,shopify,2025-10-16T01:00:00+00:00
O00010,C00823,P00821,5,2162.2604,10811.302,cancelled,VND,2025-01-08T00:00:00+00:00,2025-01-10T00:00:00+00:00,2025-01-16T00:00:00+00:00,shopify,2025-01-16T01:00:00+00:00
O00011,C00079,P00982,3,1615.0961,4845.2883,cancelled,VND,2024-09-09T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-25T00:00:00+00:00,oms,2024-09-25T01:00:00+00:00
O00012,C00099,P00940,9,3544.6861,31902.1749,cancelled,VND,2025-07-02T00:00:00+00:00,2025-07-05T00:00:00+00:00,2025-07-07T00:00:00+00:00,oms,2025-07-07T01:00:00+00:00
O00013,C00738,P00357,9,4107.1769,36964.5921,cancelled,VND,2024-08-17T00:00:00+00:00,2024-08-21T00:00:00+00:00,2024-08-26T00:00:00+00:00,oms,2024-08-26T01:00:00+00:00
O00014,C00472,P00634,8,2490.6934,19925.5472,pending,VND,2025-03-22T00:00:00+00:00,2025-03-23T00:00:00+00:00,2025-03-26T00:00:00+00:00,shopify,2025-03-26T01:00:00+00:00
O00015,C00573,P00666,1,4480.2497,4480.2497,pending,VND,2025-05-03T00:00:00+00:00,2025-05-10T00:00:00+00:00,2025-05-13T00:00:00+00:00,shopify,2025-05-13T01:00:00+00:00
O00016,C00067,P00978,5,2853.0706,14265.353,delivered,VND,2024-01-29T00:00:00+00:00,2024-02-04T00:00:00+00:00,2024-02-14T00:00:00+00:00,shopify,2024-02-14T01:00:00+00:00
O00017,C00722,P00783,3,4931.1709,14793.5127,shipped,VND,2024-08-08T00:00:00+00:00,2024-08-14T00:00:00+00:00,2024-08-22T00:00:00+00:00,shopify,2024-08-22T01:00:00+00:00
O00018,C00339,P00239,10,3994.0976,39940.976,cancelled,VND,2025-06-04T00:00:00+00:00,2025-06-08T00:00:00+00:00,2025-06-11T00:00:00+00:00,shopify,2025-06-11T01:00:00+00:00
O00019,C00884,P00007,10,274.3249,2743.249,pending,VND,2025-01-01T00:00:00+00:00,2025-01-06T00:00:00+00:00,2025-01-08T00:00:00+00:00,oms,2025-01-08T01:00:00+00:00
O00020,C00543,P00424,3,3665.4561,10996.3683,paid,VND,2024-09-11T00:00:00+00:00,2024-09-16T00:00:00+00:00,2024-09-19T00:00:00+00:00,oms,2024-09-19T01:00:00+00:00
O00021,C00665,P00952,8,3646.0489,29168.3912,delivered,VND,2024-12-05T00:00:00+00:00,2024-12-06T00:00:00+00:00,2024-12-08T00:00:00+00:00,shopify,2024-12-08T01:00:00+00:00
O00022,C00825,P00418,7,3485.1111,24395.7777,paid,VND,2024-05-21T00:00:00+00:00,2024-05-28T00:00:00+00:00,2024-06-03T00:00:00+00:00,oms,2024-06-03T01:00:00+00:00
O00023,C00319,P00364,3,3539.2421,10617.7263,paid,VND,2024-09-15T00:00:00+00:00,2024-09-19T00:00:00+00:00,2024-09-21T00:00:00+00:00,shopify,2024-09-21T01:00:00+00:00
O00024,C00412,P00206,4,1762.4914,7049.9656,shipped,VND,2025-10-24T00:00:00+00:00,2025-10-30T00:00:00+00:00,2025-11-01T00:00:00+00:00,shopify,2025-11-01T01:00:00+00:00
O00025,C00770,P00097,9,1296.2615,11666.3535,pending,VND,2025-09-12T00:00:00+00:00,2025-09-13T00:00:00+00:00,2025-09-22T00:00:00+00:00,shopify,2025-09-22T01:00:00+00:00
O00026,C00098,P00173,1,4818.3628,4818.3628,shipped,VND,2025-06-25T00:00:00+00:00,2025-06-26T00:00:00+00:00,2025-06-27T00:00:00+00:00,shopify,2025-06-27T01:00:00+00:00
O00027,C00314,P00029,10,2821.1899,28211.899,cancelled,VND,2024-03-12T00:00:00+00:00,2024-03-14T00:00:00+00:00,2024-03-18T00:00:00+00:00,shopify,2024-03-18T01:00:00+00:00
O00028,C00187,P00549,4,4879.1141,19516.4564,cancelled,VND,2024-04-09T00:00:00+00:00,2024-04-16T00:00:00+00:00,2024-04-19T00:00:00+00:00,shopify,2024-04-19T01:00:00+00:00
O00029,C00588,P00182,8,3534.7742,28278.1936,delivered,VND,2024-06-30T00:00:00+00:00,2024-07-05T00:00:00+00:00,2024-07-08T00:00:00+00:00,oms,2024-07-08T01:00:00+00:00
O00030,C00638,P00040,9,4442.2854,39980.5686,shipped,VND,2024-05-03T00:00:00+00:00,2024-05-10T00:00:00+00:00,2024-05-15T00:00:00+00:00,oms,2024-05-15T01:00:00+00:00
O00031,C00358,P00700,3,2954.6306,8863.8918,paid,VND,2024-06-20T00:00:00+00:00,2024-06-21T00:00:00+00:00,2024-06-29T00:00:00+00:00,oms,2024-06-29T01:00:00+00:00
O00032,C00628,P00943,6,4689.7131,28138.2786,delivered,VND,2025-11-05T00:00:00+00:00,2025-11-10T00:00:00+00:00,2025-11-17T00:00:00+00:00,oms,2025-11-17T01:00:00+00:00
O00033,C00685,P00568,2,1698.3363,3396.6726,delivered,VND,2025-01-09T00:00:00+00:00,2025-01-11T00:00:00+00:00,2025-01-15T00:00:00+00:00,oms,2025-01-15T01:00:00+00:00
O00034,C00814,P00414,1,1798.0238,1798.0238,pending,VND,2025-05-06T00:00:00+00:00,2025-05-13T00:00:00+00:00,2025-05-23T00:00:00+00:00,oms,2025-05-23T01:00:00+00:00
O00035,C00680,P00671,6,4560.2165,27361.299,cancelled,VND,2025-07-30T00:00:00+00:00,2025-08-04T00:00:00+00:00,2025-08-13T00:00:00+00:00,shopify,2025-08-13T01:00:00+00:00
O00036,C00776,P00560,4,1419.9822,5679.9288,shipped,VND,2024-05-18T00:00:00+00:00,2024-05-22T00:00:00+00:00,2024-05-26T00:00:00+00:00,shopify,2024-05-26T01:00:00+00:00
O00037,C00414,P00446,7,421.1206,2947.8442,shipped,VND,2024-01-25T00:00:00+00:00,2024-01-29T00:00:00+00:00,2024-01-31T00:00:00+00:00,shopify,2024-01-31T01:00:00+00:00
O00038,C00625,P00399,5,2493.0969,12465.4845,cancelled,VND,2024-10-21T00:00:00+00:00,2024-10-28T00:00:00+00:00,2024-10-29T00:00:00+00:00,oms,2024-10-29T01:00:00+00:00
O00039,C00193,P00970,2,1542.528,3085.056,cancelled,VND,2025-08-24T00:00:00+00:00,2025-08-30T00:00:00+00:00,2025-09-09T00:00:00+00:00,oms,2025-09-09T01:00:00+00:00
O00040,C00657,P00322,1,2676.1177,2676.1177,paid,VND,2024-02-18T00:00:00+00:00,2024-02-21T00:00:00+00:00,2024-02-28T00:00:00+00:00,shopify,2024-02-28T01:00:00+00:00
O00041,C00988,P00551,1,4120.4932,4120.4932,cancelled,VND,2025-12-01T00:00:00+00:00,2025-12-08T00:00:00+00:00,2025-12-15T00:00:00+00:00,oms,2025-12-15T01:00:00+00:00
