product_id,product_name,category,subcategory,price,currency,sku,is_active,created_at,updated_at,_source,_loaded_at
P00001,Fitness Product 1,Sports,Fitness,2494.5162,VND,SKU000001,True,2024-10-27T00:00:00+00:00,2024-12-08T00:00:00+00:00,woocommerce,2024-12-08T01:00:00+00:00
P00002,Phone Product 2,Electronics,Phone,4575.5464,VND,SKU000002,False,2025-03-16T00:00:00+00:00,2025-05-11T00:00:00+00:00,woocommerce,2025-05-11T01:00:00+00:00
P00003,Women Product 3,Fashion,Women,189.5458,VND,SKU000003,True,2025-03-29T00:00:00+00:00,2025-04-27T00:00:00+00:00,woocommerce,2025-04-27T01:00:00+00:00
P00004,Kitchen Product 4,Home,Kitchen,1569.1738,VND,SKU000004,False,2025-03-17T00:00:00+00:00,2025-03-25T00:00:00+00:00,woocommerce,2025-03-25T01:00:00+00:00
P00005,Tablet Product 5,Electronics,Tablet,3303.7922,VND,SKU000005,False,2025-11-22T00:00:00+00:00,2025-12-23T00:00:00+00:00,woocommerce,2025-12-23T01:00:00+00:00
P00006,Decor Product 6,Home,Decor,1324.321,VND,SKU000006,False,2024-02-27T00:00:00+00:00,2024-03-23T00:00:00+00:00,woocommerce,2024-03-23T01:00:00+00:00
P00007,Women Product 7,Fashion,Women,2956.4124,VND,SKU000007,True,2024-03-03T00:00:00+00:00,2024-03-04T00:00:00+00:00,woocommerce,2024-03-04T01:00:00+00:00
P00008,Kids Product 8,Fashion,Kids,3828.3182,VND,SKU000008,True,2025-08-20T00:00:00+00:00,2025-08-21T00:00:00+00:00,woocommerce,2025-08-21T01:00:00+00:00
P00009,Laptop Product 9,Electronics,Laptop,2065.5287,VND,SKU000009,True,2024-12-19T00:00:00+00:00,2025-01-10T00:00:00+00:00,erp,2025-01-10T01:00:00+00:00
P00010,Furniture Product 10,Home,Furniture,2966.733,VND,SKU000010,True,2025-10-25T00:00:00+00:00,2025-11-13T00:00:00+00:00,woocommerce,2025-11-13T01:00:00+00:00
P00011,Laptop Product 11,Electronics,Laptop,2696.6999,VND,SKU000011,True,2024-06-22T00:00:00+00:00,2024-06-23T00:00:00+00:00,woocommerce,2024-06-23T01:00:00+00:00
P00012,Indoor Product 12,Sports,Indoor,2111.6514,VND,SKU000012,True,2025-06-11T00:00:00+00:00,2025-08-07T00:00:00+00:00,woocommerce,2025-08-07T01:00:00+00:00
P00013,Laptop Product 13,Electronics,Laptop,1957.6009,VND,SKU000013,True,2025-01-21T00:00:00+00:00,2025-02-26T00:00:00+00:00,woocommerce,2025-02-26T01:00:00+00:00
P00014,Tablet Product 14,Electronics,Tablet,1686.4776,VND,SKU000014,True,2025-11-22T00:00:00+00:00,2025-12-05T00:00:00+00:00,erp,2025-12-05T01:00:00+00:00
P00015,Women Product 15,Fashion,Women,2489.789,VND,SKU000015,True,2025-03-22T00:00:00+00:00,2025-04-03T00:00:00+00:00,erp,2025-04-03T01:00:00+00:00
P00016,Women Product 16,Fashion,Women,4981.1762,VND,SKU000016,False,2024-02-18T00:00:00+00:00,2024-03-08T00:00:00+00:00,erp,2024-03-08T01:00:00+00:00
